,open,grasp,flex,ext,rdev,udev,sup,pro
pro_sup,0,0,0,0,0,0,-80,80
deviation,0,0,0,0,-10,24,0,0
flexion,0,0,65,-65,0,0,0,0
cmc_flexion,0,15,0,0,0,0,0,0
cmc_abduction,0,15,0,0,0,0,0,0
mp_flexion,0,45,0,0,0,0,0,0
ip_flexion,0,75,0,0,0,0,0,0
4cmc_flexion,0,5,0,0,0,0,0,0
2mcp_abduction,0,0,0,0,0,0,0,0
2mcp_flexion,0,90,0,0,0,0,0,0
2pm_flexion,0,90,0,0,0,0,0,0
2md_flexion,0,60,0,0,0,0,0,0
3mcp_abduction,0,0,0,0,0,0,0,0
3mcp_flexion,0,90,0,0,0,0,0,0
3pm_flexion,0,90,0,0,0,0,0,0
3md_flexion,0,65,0,0,0,0,0,0
4mcp_abduction,0,0,0,0,0,0,0,0
4mcp_flexion,0,90,0,0,0,0,0,0
4pm_flexion,0,80,0,0,0,0,0,0
4md_flexion,0,60,0,0,0,0,0,0
5mcp_abduction,0,10,0,0,0,0,0,0
5mcp_flexion,0,75,0,0,0,0,0,0
5pm_flexion,0,90,0,0,0,0,0,0
5md_flexion,0,80,0,0,0,0,0,0
